OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
"5,625",-,-,-,"4,063.45",-2.00,150,"3,983.15","4,005.90",300,7400.00,450,0.20,0.45,225,-0.35,0.20,66.14,10,75,"22,350"
"55,350",-,-,-,"3,820.90",-1.50,225,"3,886.15","3,904.90",300,7500.00,"3,600",0.35,0.45,"4,425",-0.30,0.45,68.56,27,900,"4,500"
-,-,-,-,-,-,-,-,-,-,7600.00,"3,000",0.05,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,7700.00,"3,000",0.05,-,-,-,-,-,-,-,-
-,-,-,-,-,-,150,"3,586.35",-,-,7800.00,"6,000",0.05,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,7900.00,"3,000",0.05,-,-,-,-,-,-,-,-
"415,050",750,55,-,"3,400.00",78.50,150,"3,388.65","3,402.90",150,8000.00,"2,700",0.35,0.40,"2,100",-0.05,0.45,58.70,121,"3,150","55,275"
-,-,-,-,-,-,75,"3,265.50","3,325.50",150,8100.00,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,75,"3,165.50","3,225.50",150,8200.00,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,150,"3,065.50","3,125.50",150,8300.00,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,8400.00,-,-,2.90,"3,000",-,-,-,-,-,-
"207,300",-150,13,-,"2,894.75",74.75,150,"2,891.05","2,907.90",300,8500.00,525,0.40,0.45,600,-0.10,0.40,48.86,73,-525,"13,725"
"237,375",-,-,-,"2,721.00",-,150,"2,791.15","2,807.90",300,8600.00,300,0.05,1.50,"1,500",-,1.45,-,-,-,"15,525"
"38,775",-,-,-,"2,968.50",-,150,"2,694.15","2,707.80",450,8700.00,"1,500",0.10,3.00,"1,500",-,1.00,-,-,-,"1,575"
600,-,-,-,"2,890.35",-,150,"2,591.15","2,880.00",600,8800.00,"1,500",0.10,3.00,"1,500",-,3.05,-,-,-,75
-,-,-,-,-,-,-,-,-,-,8900.00,525,0.15,3.00,"1,500",-,0.05,-,-,-,600
"161,025",-675,21,-,"2,397.00",70.45,150,"2,396.10","2,408.85",225,9000.00,300,0.65,0.70,450,-,0.65,41.89,89,-675,"106,950"
"251,700","-6,150",139,-,"2,303.15",80.65,300,"2,295.80","2,306.60",75,9100.00,600,0.70,1.00,"1,200",-0.80,0.70,40.40,212,"-3,450","32,250"
-,-,-,-,-,-,600,"1,801.00",-,-,9150.00,"3,975",0.05,-,-,-,-,-,-,-,-
"22,425",-150,2,-,"2,140.00",-130.00,150,"2,183.15","2,215.75",75,9200.00,600,0.75,1.00,"1,200",-0.85,0.80,39.13,17,-675,"1,575"
-,-,-,-,-,-,-,-,-,-,9250.00,"4,050",0.10,-,-,-,-,-,-,-,-
"141,825",-225,7,-,"2,010.00",-132.10,75,"2,093.25","2,110.15",75,9300.00,825,0.75,0.90,"2,475",0.15,0.85,37.58,61,-900,"42,150"
-,-,-,-,-,-,-,-,-,-,9350.00,"3,975",0.05,-,-,-,-,-,-,-,-
"66,600","1,725",179,-,"2,000.00",-85.60,75,"1,996.45","2,010.55",75,9400.00,"1,500",0.75,0.90,450,-0.45,0.80,35.57,303,"2,250","35,400"
-,-,-,-,-,-,-,-,-,-,9450.00,"3,975",0.05,-,-,-,-,-,-,-,-
"298,725","7,050","1,630",-,"1,902.10",81.55,225,"1,896.65","1,904.80",75,9500.00,"5,400",1.20,1.25,"4,875",-0.25,1.25,35.46,"1,422",-600,"212,175"
-,-,-,-,-,-,-,-,-,-,9550.00,"3,975",0.15,-,-,-,-,-,-,-,-
"15,825",-,-,-,"1,854.00",-,75,"1,790.30","1,809.80",75,9600.00,75,2.00,2.80,225,0.85,2.80,37.05,1,75,"7,425"
-,-,-,-,-,-,-,-,-,-,9650.00,"3,975",0.15,-,-,-,-,-,-,-,-
"28,275",-,20,34.87,"1,712.35",62.35,150,"1,693.85","1,714.80",75,9700.00,150,1.70,2.95,150,-0.05,2.25,34.12,92,"-2,925","5,550"
-,-,-,-,-,-,-,-,-,-,9750.00,"3,975",0.15,-,-,-,-,-,-,-,-
"33,075",-,-,-,"1,699.20",-,75,"1,595.15","1,618.75",75,9800.00,150,2.85,3.35,75,0.75,3.40,34.01,371,"6,225","23,400"
-,-,-,-,-,-,-,-,-,-,9850.00,"3,975",0.25,-,-,-,-,-,-,-,-
"19,125",-,1,-,"1,417.30",-172.70,75,"1,495.35","1,509.35",75,9900.00,150,2.60,3.60,"1,950",-1.15,3.20,31.76,"1,027","27,000","101,100"
-,-,-,-,-,-,-,-,-,-,9950.00,"3,975",0.65,-,-,-,-,-,-,-,-
"668,925",-900,416,-,"1,400.00",76.40,150,"1,400.85","1,408.60",75,10000.00,900,3.75,3.90,"3,750",-0.05,3.85,30.58,"6,605","21,075","813,150"
-,-,-,-,-,-,750,955.60,-,-,10050.00,"4,050",0.65,-,-,-,-,-,-,-,-
"13,350",-375,7,27.75,"1,314.45",69.45,150,"1,299.10","1,310.65",75,10100.00,300,4.65,4.95,75,0.55,4.70,29.45,"2,299","16,950","61,200"
-,-,-,-,-,-,750,855.60,-,-,10150.00,300,0.75,-,-,-,-,-,-,-,-
"38,700",-,6,20.77,"1,212.25",68.85,75,"1,197.00","1,213.55",75,10200.00,"3,075",5.80,6.20,150,1.00,5.80,28.33,"8,164","236,025","1,387,725"
-,-,-,-,-,-,750,755.60,-,-,10250.00,150,0.70,-,-,-,-,-,-,-,-
"90,450",-900,21,-,"1,040.95",-31.50,225,"1,098.15","1,116.70",75,10300.00,"1,575",6.80,7.00,975,1.35,6.80,26.95,"10,482","260,550","538,425"
-,-,-,-,-,-,750,655.60,-,-,10350.00,"8,550",3.05,-,-,-,3.05,-,-,-,150
"58,575",75,28,21.57,"1,015.35",90.35,150,"1,001.05","1,014.20",75,10400.00,"1,500",7.50,7.55,150,0.65,7.55,25.28,"10,079","120,300","464,475"
-,-,-,-,-,-,750,576.75,-,-,10450.00,"18,225",3.15,-,-,-,-,-,-,-,-
"325,725","-3,675",98,23.38,921.00,76.55,75,910.00,919.25,75,10500.00,"1,500",7.35,8.85,"1,800",-,8.85,23.81,"19,217","432,975","1,722,150"
-,-,-,-,-,-,750,640.15,999.90,"3,000",10550.00,"22,200",3.45,-,-,-,-,-,-,-,-
"164,700","-3,975",211,15.81,814.60,79.15,75,809.10,820.90,75,10600.00,750,9.95,10.00,"1,575",-2.00,9.50,21.89,"8,548","77,325","568,650"
225,-75,4,22.53,777.55,35.70,"1,125",744.35,811.90,150,10650.00,600,8.55,10.50,600,6.85,10.00,20.98,28,"1,800","1,950"
"119,475","-4,125",127,15.90,716.70,76.85,150,708.30,721.80,75,10700.00,75,10.30,13.00,150,-3.70,11.05,20.26,"25,041","268,350","1,031,400"
-,-,-,-,-,-,"3,000",445.10,804.90,"3,000",10750.00,"19,875",4.00,-,-,-,115.20,-,-,-,600
"178,200","-1,125",321,18.54,627.00,80.50,75,614.30,621.60,75,10800.00,75,13.50,14.90,300,-6.20,14.95,19.22,"28,796","84,900","1,417,725"
150,-,-,-,873.00,0.50,75,355.15,707.85,75,10850.00,75,9.05,18.00,150,-24.10,18.00,18.85,35,375,"4,200"
"138,750","-1,500",186,16.53,528.80,68.65,150,517.60,524.90,150,10900.00,375,17.55,18.20,600,-11.90,17.70,17.49,"42,054","49,275","1,157,625"
-,-,-,-,-,-,750,455.30,488.25,375,10950.00,75,18.00,25.00,75,-190.15,13.50,15.09,88,"3,300","26,250"
